edu hr wage famearn selfempl salaried  married numkid age locunemp
13.0 3950.0 13.4 62637.3 1.0 0.0 1.0 0.0 52.0 7.4 
12.0 2500.0 3.0 7510.4 1.0 0.0 1.0 1.0 57.0 5.6 
12.0 2530.0 4.0 10202.3 1.0 0.0 1.0 1.0 58.0 5.9 
12.0 2318.0 3.5 10068.1 1.0 0.0 1.0 1.0 59.0 7.4 
12.0 2420.0 15.9 38453.3 0.0 1.0 1.0 1.0 56.0 8.9 
12.0 2331.0 17.5 40739.3 0.0 1.0 1.0 0.0 57.0 8.7 
12.0 2256.0 15.3 34549.1 0.0 1.0 1.0 0.0 58.0 8.7 
9.0 1990.0 16.5 32805.5 0.0 0.0 1.0 0.0 58.0 9.3 
9.0 1880.0 18.0 33755.4 0.0 0.0 1.0 0.0 59.0 9.5 
9.0 1363.0 24.6 33526.3 0.0 0.0 1.0 0.0 60.0 9.3 
12.0 1976.0 23.1 45663.3 0.0 1.0 1.0 3.0 34.0 4.8 
12.0 1960.0 22.6 44231.2 0.0 1.0 0.0 0.0 35.0 3.9 
12.0 1838.0 27.2 50005.3 0.0 1.0 0.0 0.0 36.0 3.8 
14.0 3000.0 15.2 63688.3 0.0 0.0 1.0 1.0 40.0 11.2 
14.0 2400.0 24.1 83573.7 0.0 0.0 1.0 1.0 41.0 9.9 
14.0 2400.0 21.8 75007.9 0.0 1.0 1.0 1.0 42.0 8.8 
17.0 0.0 24.1 26436.6 0.0 0.0 1.0 0.0 52.0 7.2 
17.0 0.0 24.1 0.0 0.0 0.0 1.0 0.0 53.0 6.5 
17.0 0.0 24.1 0.0 0.0 0.0 0.0 0.0 54.0 6.3 
12.0 0.0 8.3 14420.0 0.0 0.0 1.0 3.0 44.0 7.0 
12.0 1821.0 1.1 18390.9 0.0 0.0 1.0 2.0 45.0 7.1 
12.0 2662.0 6.0 40766.8 0.0 0.0 1.0 2.0 46.0 8.2 
16.0 1950.0 15.4 36650.8 0.0 1.0 1.0 1.0 36.0 5.6 
16.0 1440.0 20.8 29984.1 0.0 1.0 1.0 2.0 37.0 5.9 
16.0 2016.0 16.9 38640.4 0.0 1.0 1.0 2.0 38.0 7.4 
17.0 2400.0 31.0 74503.2 0.0 1.0 1.0 3.0 44.0 5.0 
17.0 2400.0 31.0 74494.6 0.0 1.0 1.0 3.0 45.0 5.6 
17.0 2856.0 27.1 77280.8 0.0 1.0 1.0 3.0 46.0 5.0 
13.0 2585.0 0.9 18347.0 1.0 0.0 1.0 1.0 32.0 7.2 
13.0 2580.0 1.6 23138.7 1.0 0.0 1.0 1.0 33.0 6.4 
13.0 2580.0 3.3 26586.9 1.0 0.0 1.0 2.0 34.0 6.1 
12.0 2359.0 27.2 80788.0 1.0 0.0 0.0 0.0 39.0 7.8 
12.0 2572.0 24.1 95077.3 1.0 0.0 1.0 0.0 40.0 7.2 
12.0 2290.0 43.7 127664.5 1.0 1.0 1.0 0.0 41.0 6.7 
17.0 1685.0 3.6 33674.3 1.0 0.0 1.0 0.0 58.0 9.5 
17.0 944.0 5.9 31194.6 1.0 0.0 1.0 0.0 59.0 8.1 
17.0 1500.0 7.6 85236.2 1.0 0.0 1.0 0.0 60.0 8.2 
17.0 2272.0 9.9 27200.9 1.0 0.0 1.0 1.0 49.0 7.2 
17.0 2322.0 8.9 31032.8 1.0 0.0 1.0 1.0 50.0 6.5 
17.0 3500.0 7.1 29491.7 1.0 0.0 1.0 1.0 51.0 6.3 
14.0 2178.0 10.9 40135.6 0.0 1.0 1.0 2.0 39.0 6.7 
14.0 2178.0 10.7 41321.2 0.0 1.0 1.0 2.0 40.0 5.4 
14.0 2066.0 11.8 41708.9 0.0 1.0 1.0 1.0 41.0 5.3 
14.0 2300.0 6.5 18613.8 1.0 0.0 1.0 2.0 27.0 6.3 
14.0 3126.0 11.7 42287.3 1.0 0.0 1.0 2.0 28.0 6.0 
14.0 3348.0 10.6 46773.1 0.0 0.0 1.0 2.0 29.0 5.7 
16.0 1560.0 7.7 45663.3 1.0 0.0 1.0 2.0 35.0 4.8 
16.0 1362.0 13.7 52379.0 1.0 0.0 1.0 2.0 36.0 3.9 
16.0 2385.0 4.8 48982.4 1.0 0.0 1.0 2.0 37.0 3.8 
17.0 4960.0 9.7 48042.6 1.0 1.0 1.0 2.0 39.0 7.2 
17.0 4128.0 24.8 102430.1 1.0 1.0 1.0 2.0 40.0 6.5 
17.0 2890.0 41.3 119330.7 1.0 1.0 1.0 2.0 41.0 5.0 
15.0 2450.0 12.4 30312.0 1.0 0.0 1.0 2.0 31.0 6.3 
15.0 3120.0 11.8 36735.2 1.0 0.0 1.0 2.0 32.0 6.0 
15.0 2050.0 15.8 33327.4 1.0 1.0 1.0 2.0 33.0 5.7 
16.0 2057.0 12.6 27072.3 1.0 0.0 1.0 3.0 33.0 4.3 
